Categorias / ,Imagen,1,2,3,4,5,6,7,8
Mensaje normal,https://github.com/ramirezaoritba/infovis/blob/main/iconos/MaquinaEscribir.JPG,8,34,2,12,1,6,1,2
Cognotaci贸n Sexual,https://github.com/ramirezaoritba/infovis/blob/main/iconos/CognotacionSexual.JPG,1,6,1,2,1,2,1,1
Reacci贸n graciosa,https://github.com/ramirezaoritba/infovis/blob/main/iconos/reacciongraciosa.JPG,1,26,1,18,2,2,1,4
Armas,https://github.com/ramirezaoritba/infovis/blob/main/iconos/Armas.JPG,1,1,1,1,1,4,1,1
Vintage,https://github.com/ramirezaoritba/infovis/blob/main/iconos/Vintage.JPG,1,1,1,1,1,6,1,1
Gif,https://github.com/ramirezaoritba/infovis/blob/main/iconos/GIF.JPG,2,16,2,26,1,1,1,1
Foto Editada,https://github.com/ramirezaoritba/infovis/blob/main/iconos/FotoEditada.JPG,1,8,1,1,1,1,1,1
Video gral,https://github.com/ramirezaoritba/infovis/blob/main/iconos/Videos.JPG,1,2,1,1,1,1,2,1
Audio,https://github.com/ramirezaoritba/infovis/blob/main/iconos/Audios.JPG,1,2,1,1,1,1,1,1
Fotos Reuni贸n,https://github.com/ramirezaoritba/infovis/blob/main/iconos/FotoReunion.JPG,1,1,1,1,1,1,1,1
Informaci贸n Actualidad,https://github.com/ramirezaoritba/infovis/blob/main/iconos/Actualidad.JPG,1,8,1,1,2,1,4,6
